epoch,loss,sameAs_train_hits@1,sameAs_train_hits@10,sameAs_train_MR,sameAs_train_MRR,sameAs_train_precision,sameAs_train_recall,sameAs_train_f1
0,0.6736266613006592,0.2631835304200649,1.0,2.0142287611961365,0.5057332666052856,0.25,0.5,0.3333333333333333
1,0.5844655752182006,0.356483519077301,1.0,1.6483516454696656,0.594011771581104,1.0,1.0,1.0
2,0.39106689393520355,0.3830223321914673,0.9999999880790711,1.6643022298812866,0.5940238922760237,1.0,1.0,1.0
3,0.37186643183231355,0.28889669179916383,1.0,1.7166549682617187,0.7997905346329375,0.9807692307692308,0.98,0.9799919967987194
4,0.3436937928199768,0.3987829953432083,1.0,1.5457799673080443,0.616593310869612,1.0,1.0,1.0
5,0.3334935963153839,0.2696138247847557,0.9999999850988388,1.8292975723743439,0.5499764453740743,0.9966887417218543,0.9966666666666666,0.9966666296292181
6,0.2811149887740612,0.4178580313920975,0.9999999880790711,1.4737582087516785,0.6891122851593091,0.9966887417218543,0.9966666666666666,0.9966666296292181
7,0.2791044980287552,0.36999756693840025,0.9999999880790711,1.6520023107528687,0.5967447083932791,1.0,1.0,1.0
8,0.286606901884079,0.1973254531621933,1.0,2.129011809825897,0.47159533145406324,1.0,1.0,1.0
9,0.24591874480247497,0.39687635004520416,1.0,1.5314676761627197,0.6328477426980939,1.0,1.0,1.0
10,0.3008282482624054,0.36256096959114076,0.9953488230705261,1.6653223752975463,0.5971446447394685,0.993421052631579,0.9933333333333334,0.9933330370238678
11,0.2839506685733795,0.40385130047798157,1.0,1.473003363609314,0.636465960689915,1.0,1.0,1.0
12,0.25404808297753334,0.3917923092842102,1.0,1.6835665225982666,0.5954679286236477,1.0,1.0,1.0
13,0.2669959604740143,0.3567060142755508,0.9999999880790711,1.713871955871582,0.5747789323245883,0.9901960784313726,0.99,0.9899989998999901
14,0.2339896723628044,0.36416417062282563,1.0,1.6624591588973998,0.5906570111062166,1.0,1.0,1.0
15,0.28851220309734343,0.22265958040952682,0.9999999850988388,1.9251686930656433,0.5206970397664393,1.0,1.0,1.0
16,0.2279180645942688,0.2680107317864895,1.0,1.7593121230602264,0.5994815561610469,0.9966887417218543,0.9966666666666666,0.9966666296292181
17,0.2341255009174347,0.22472021356225014,1.0,2.1299538910388947,0.49765030342133987,0.9966887417218543,0.9966666666666666,0.9966666296292181
18,0.2478274166584015,0.3835413962602615,1.0,1.5574933290481567,0.6114776093580123,1.0,1.0,1.0
19,0.23595716953277587,0.22043077647686005,1.0,1.9284113943576813,0.527282226868244,1.0,1.0,1.0
20,0.17821049243211745,0.3252976194024086,0.9950000047683716,1.7372023582458496,0.5743736247467109,1.0,1.0,1.0
21,0.25809760987758634,0.28304390236735344,1.0,1.8593463897705078,0.5628930619105466,0.9901960784313726,0.99,0.9899989998999901
22,0.2342348426580429,0.45070946514606475,1.0,1.4246959686279297,0.6556251315845991,1.0,1.0,1.0
23,0.22375796735286713,0.2804582566022873,1.0,1.6986222565174103,0.5997424290953994,1.0,1.0,1.0
24,0.1964833177626133,0.3122614324092865,1.0,1.7926113307476044,0.5618502829220775,1.0,1.0,1.0
25,0.1925995260477066,0.30108043923974037,0.9999999701976776,1.7868207097053528,0.5896372650846089,1.0,1.0,1.0
26,0.15488885808736086,0.46060606837272644,1.0,1.5247474670410157,0.6243535628147704,1.0,1.0,1.0
27,0.17840562686324118,0.22684787958860397,1.0,1.79594087600708,0.5610776851353014,0.9777070063694268,0.9766666666666667,0.9766539560427343
28,0.19198939204216003,0.2477317452430725,1.0,1.713377982378006,0.6260594691659018,0.9966887417218543,0.9966666666666666,0.9966666296292181
29,0.17179554253816604,0.295376542955637,1.0,1.8902901709079742,0.564113137048487,1.0,1.0,1.0
30,0.15487069264054298,0.43431984484195707,1.0,1.4801190137863158,0.6405202079839837,1.0,1.0,1.0
31,0.16156811714172364,0.4471505045890808,1.0,1.367647075653076,0.6733568248318136,1.0,1.0,1.0
32,0.1764026775956154,0.46278586983680725,1.0,1.1865211486816407,0.741352821168018,1.0,1.0,1.0
33,0.1275824446231127,0.4997528433799744,1.0,1.1755565881729126,0.7574668567534293,1.0,1.0,1.0
34,0.14633576571941376,0.3885171115398407,0.9999999850988388,1.5482629835605621,0.6530359601314127,0.9966887417218543,0.9966666666666666,0.9966666296292181
35,0.09934254102408886,0.5115220546722412,1.0,1.154054045677185,0.7624071340535281,1.0,1.0,1.0
36,0.14640554636716843,0.3581439480185509,0.9937500059604645,1.424116164445877,0.7385821520966032,1.0,1.0,1.0
37,0.11845712289214134,0.37475381046533585,1.0,1.291322484612465,0.8143861581792528,1.0,1.0,1.0
38,0.16048851013183593,0.47323718667030334,1.0,1.0541666746139526,0.837922468433697,1.0,1.0,1.0
39,0.10509564578533173,0.5240159869194031,1.0,0.8869663715362549,0.9259756068810866,1.0,1.0,1.0
40,0.11429888494312763,0.4238363318145275,0.9999999850988388,1.2175555378198624,0.8770817275809759,1.0,1.0,1.0
41,0.11165967024862766,0.5524498999118805,0.9999999880790711,0.8007762551307678,1.0124345305591453,1.0,1.0,1.0
42,0.12368981093168259,0.5533440113067627,0.9999999850988388,0.7561008185148239,1.4210241772665855,1.0,1.0,1.0
43,0.11367462296038866,0.5051965788006783,1.0,0.9140570312738419,1.1786963543534463,1.0,1.0,1.0
44,0.12558765821158885,0.4517047256231308,0.9999999850988388,0.8476298600435257,1.2454445893402446,1.0,1.0,1.0
45,0.1169478639960289,0.5562339723110199,0.9999999701976776,0.7647688910365105,1.5302042288038638,1.0,1.0,1.0
46,0.07577660884708166,0.6080315709114075,1.0,0.6120999574661254,1.3068719521789398,1.0,1.0,1.0
47,0.07656452096998692,0.703657078742981,1.0,0.5161162078380584,1.7371540936919563,1.0,1.0,1.0
48,0.09451282769441605,0.6842892587184906,1.0,0.47252951860427855,1.7778954465033885,1.0,1.0,1.0
49,0.10020020604133606,0.722670066356659,1.0,0.4495144188404083,1.7279278422536355,1.0,1.0,1.0
50,0.08441463634371757,0.6457919001579284,0.9999999880790711,0.51743586063385,1.4971771507841614,1.0,1.0,1.0
51,0.09892980791628361,0.5743589848279953,1.0,0.6986874341964722,1.4453386034895723,0.9966887417218543,0.9966666666666666,0.9966666296292181
52,0.11750552766025066,0.7282828390598297,1.0,0.4595959708094597,2.40961531161116,0.9966887417218543,0.9966666666666666,0.9966666296292181
53,0.09957288093864917,0.7350430369377137,0.9999999880790711,0.4506025791168213,1.6291125626353196,0.9966887417218543,0.9966666666666666,0.9966666296292181
54,0.08675943491980434,0.7243563652038574,1.0,0.4839181244373322,1.6105882517924364,1.0,1.0,1.0
55,0.07267706878483296,0.7271795034408569,1.0,0.39150184392929077,1.9271103391014452,1.0,1.0,1.0
56,0.08871960043907165,0.7352723032236099,1.0,0.39777611196041107,2.7015289030245366,1.0,1.0,1.0
57,0.0869955699890852,0.6947956085205078,1.0,0.4281391501426697,2.4416666208952678,1.0,1.0,1.0
58,0.08954202346503734,0.7915266036987305,1.0,0.30694855451583863,2.433945585674098,1.0,1.0,1.0
59,0.05865535605698824,0.7451820969581604,1.0,0.4045928083360195,3.073717890355069,1.0,1.0,1.0
60,0.0661973424255848,0.7615842968225479,1.0,0.32357244566082954,3.238230508165938,1.0,1.0,1.0
61,0.06370584368705749,0.7425322383642197,1.0,0.36799655109643936,2.7933035193932536,1.0,1.0,1.0
62,0.06883511394262314,0.8216724634170532,1.0,0.23221225440502166,3.0759920407579804,0.9966887417218543,0.9966666666666666,0.9966666296292181
63,0.0909821093082428,0.7760079056024551,1.0,0.26978989131748676,4.603311917029582,1.0,1.0,1.0
64,0.06349207684397698,0.7625655084848404,1.0,0.32535315677523613,4.231959611234057,1.0,1.0,1.0
65,0.06250353269279003,0.7682466059923172,1.0,0.35179299116134644,2.9496137453292453,1.0,1.0,1.0
66,0.06849537957459688,0.7902671992778778,0.9999999850988388,0.2608324531465769,4.5946968617491954,1.0,1.0,1.0
67,0.08205925226211548,0.7779875993728638,1.0,0.2697254568338394,4.013507216582787,1.0,1.0,1.0
68,0.08932077996432781,0.8265470623970032,1.0,0.1784529507160187,4.632337572279532,1.0,1.0,1.0
69,0.07835757806897163,0.8000990152359009,1.0,0.3302643410861492,3.6860118001238047,1.0,1.0,1.0
70,0.04684332385659218,0.8134188175201416,1.0,0.20239316821098327,3.479999916344884,1.0,1.0,1.0
71,0.0635026564821601,0.792572945356369,1.0,0.22769734263420105,4.532873319612218,1.0,1.0,1.0
72,0.05766500197350979,0.8915250182151795,1.0,0.14130692034959794,5.171428480738662,1.0,1.0,1.0
73,0.054110249131917955,0.8417460322380066,1.0,0.22380952835083007,3.6999998971819914,1.0,1.0,1.0
74,0.08443583995103836,0.7944334596395493,0.9999999850988388,0.25823918730020523,4.115578764641619,1.0,1.0,1.0
75,0.056167909502983095,0.9030888199806213,1.0,0.12312741428613663,5.573809480176961,1.0,1.0,1.0
76,0.050809917971491814,0.8043215870857239,1.0,0.233103696256876,4.558333303373728,1.0,1.0,1.0
77,0.03747340515255928,0.8822164535522461,1.0,0.16395603716373444,5.056666644329828,1.0,1.0,1.0
78,0.05779669303447008,0.7891500294208527,1.0,0.2377839908003807,4.610164805845317,1.0,1.0,1.0
79,0.08180671036243439,0.8844541192054749,1.0,0.15795445293188096,4.6866666670243,1.0,1.0,1.0
